
协 | xié | be united; cooperate
轮 | lún | wheel; revolve, turn; recur
略 | lvè | approximately, roughly; outline
慧 | huì | bright, intelligent; intelligence
幻 | huàn | illusion, fantasy, mirage
脸 | liǎn | face; cheek; reputation
短 | duǎn | short; brief; deficient, lacking
鹰 | yīng | eagle, falcon; Accipiter species (various)
冲 | chōng | rush against, charge ahead
朝 | zhāo | dynasty; morning
忍 | rěn | endure, bear, suffer; forbear
游 | yóu | to swim; float, drift; wander, roam
河 | hé | river; stream; yellow river
批 | pī | comment, criticize; wholesale
混 | hǔn | to mix, blend, mingle; to bumble along
窗 | chuāng | window
乡 | xiāng | country; rural; village
蛋 | dàn | eggs; term of abuse
季 | jì | quarter of year; season; surname
散 | sàn | scatter, disperse, break up
册 | cè | book, volume
弃 | qì | reject, abandon, discard
熟 | shóu | well-cooked; ripe; familiar with
奖 | jiǎng | prize, reward; give award to
唯 | wéi | only; yes
藏 | cáng | hide, conceal; hoard, store up
婚 | hūn | get married; marriage, wedding
镜 | jìng | mirror; lens; glass; glasses
紧 | jǐn | tense, tight, taut; firm, secure
猜 | cāi | guess, conjecture, suppose; feel
喝 | hē | drink; shout, call out
尊 | zūn | respect, revere, venerate; honor
干 | gān | dry; first hexagram; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male)
县 | xiàn | county, district, subdivision
伯 | bó | older brother; father's elder brother; senior male 'sire'; feudal rank 'count'
偏 | piān | inclined one side; slanting
偷 | tōu | to steal, burglar, thief
秋 | qiū | autumn, fall; year
层 | céng | storey, layer, floor, stratum
颗 | kē | grain, kernel
食 | shí | eat; meal; food; KangXi radical number 184
淡 | dàn | weak, watery; insipid, tasteless
申 | shēn | to state to a superior, report; extend; 9th terrestrial branch
冠 | guān | cap, crown, headgear
衣 | yī | clothes, clothing; cover, skin
仅 | jǐn | only, merely, solely, just
帐 | zhàng | tent; screen, mosquito net
赞 | zàn | help, support, assist, aid
购 | gòu | buy, purchase; hire
犯 | fàn | commit crime, violate; criminal
敬 | jìng | respect, honor; respectfully
勇 | yǒng | brave, courageous, fierce
洲 | zhōu | continent; island; islet
束 | shù | bind, control, restrain; bale
斗 | dòu | struggle, fight, compete, contend
